,Unnamed: 0,height,img_name,label,width,x,y,Path
0,0,94,n0239.mha,1,92,776,579,/proccessed_data/images/n0239.mha
1,1,40,n0342.mha,1,27,223,642,/proccessed_data/images/n0342.mha
2,2,111,n0996.mha,1,159,687,310,/proccessed_data/images/n0996.mha
4,4,69,n0538.mha,1,62,599,645,/proccessed_data/images/n0538.mha
5,5,53,n1026.mha,1,60,758,621,/proccessed_data/images/n1026.mha
7,7,67,n0993.mha,1,60,220,497,/proccessed_data/images/n0993.mha
9,9,96,n0373.mha,1,72,631,642,/proccessed_data/images/n0373.mha
10,10,59,n0373.mha,1,48,203,489,/proccessed_data/images/n0373.mha
11,11,56,n0373.mha,1,54,250,498,/proccessed_data/images/n0373.mha
12,12,48,n0497.mha,1,46,338,415,/proccessed_data/images/n0497.mha
13,13,35,n0497.mha,1,37,183,668,/proccessed_data/images/n0497.mha
15,15,38,n1101.mha,1,63,260,494,/proccessed_data/images/n1101.mha
17,17,78,n0978.mha,1,72,305,504,/proccessed_data/images/n0978.mha
18,18,44,n0919.mha,1,41,741,481,/proccessed_data/images/n0919.mha
22,22,45,n0690.mha,1,49,129,799,/proccessed_data/images/n0690.mha
24,24,49,n0990.mha,1,54,635,300,/proccessed_data/images/n0990.mha
25,25,74,n0474.mha,1,75,192,487,/proccessed_data/images/n0474.mha
26,26,78,n0474.mha,1,76,184,685,/proccessed_data/images/n0474.mha
27,27,78,n0474.mha,1,52,144,762,/proccessed_data/images/n0474.mha
28,28,62,n0034.mha,1,62,812,670,/proccessed_data/images/n0034.mha
29,29,43,n0886.mha,1,41,725,496,/proccessed_data/images/n0886.mha
30,30,54,n0436.mha,1,45,833,375,/proccessed_data/images/n0436.mha
31,31,86,n0602.mha,1,75,401,235,/proccessed_data/images/n0602.mha
37,37,77,n0471.mha,1,58,537,241,/proccessed_data/images/n0471.mha
38,38,114,n0604.mha,1,86,250,351,/proccessed_data/images/n0604.mha
39,39,23,n0604.mha,1,18,827,685,/proccessed_data/images/n0604.mha
40,40,83,n0766.mha,1,88,757,660,/proccessed_data/images/n0766.mha
42,42,28,n0099.mha,1,36,165,776,/proccessed_data/images/n0099.mha
43,43,65,n0769.mha,1,70,175,655,/proccessed_data/images/n0769.mha
44,44,120,n0726.mha,1,93,320,480,/proccessed_data/images/n0726.mha
45,45,51,n0726.mha,1,47,820,522,/proccessed_data/images/n0726.mha
46,46,37,n1095.mha,1,43,634,233,/proccessed_data/images/n1095.mha
47,47,52,n1095.mha,1,39,612,284,/proccessed_data/images/n1095.mha
48,48,32,n0992.mha,1,29,244,578,/proccessed_data/images/n0992.mha
49,49,32,n0992.mha,1,27,209,529,/proccessed_data/images/n0992.mha
50,50,56,n1094.mha,1,60,313,434,/proccessed_data/images/n1094.mha
51,51,51,n0370.mha,1,56,847,460,/proccessed_data/images/n0370.mha
52,52,72,n1012.mha,1,52,136,365,/proccessed_data/images/n1012.mha
53,53,38,n0457.mha,1,25,832,640,/proccessed_data/images/n0457.mha
54,54,36,n0980.mha,1,41,186,281,/proccessed_data/images/n0980.mha
55,55,28,n0725.mha,1,27,757,726,/proccessed_data/images/n0725.mha
56,56,36,n0631.mha,1,55,179,667,/proccessed_data/images/n0631.mha
57,57,73,n0327.mha,1,59,134,764,/proccessed_data/images/n0327.mha
58,58,67,n0282.mha,1,67,718,540,/proccessed_data/images/n0282.mha
59,59,56,n0282.mha,1,56,315,267,/proccessed_data/images/n0282.mha
60,60,65,n0282.mha,1,67,811,593,/proccessed_data/images/n0282.mha
61,61,88,n0288.mha,1,89,277,475,/proccessed_data/images/n0288.mha
62,62,72,n0288.mha,1,61,297,665,/proccessed_data/images/n0288.mha
63,63,27,n1132.mha,1,39,257,700,/proccessed_data/images/n1132.mha
64,64,60,n1132.mha,1,71,166,662,/proccessed_data/images/n1132.mha
65,65,29,n1132.mha,1,42,261,342,/proccessed_data/images/n1132.mha
66,66,49,n0379.mha,1,40,762,356,/proccessed_data/images/n0379.mha
67,67,59,n0139.mha,1,59,212,475,/proccessed_data/images/n0139.mha
68,68,67,n0901.mha,1,64,710,541,/proccessed_data/images/n0901.mha
69,69,44,n0901.mha,1,44,241,403,/proccessed_data/images/n0901.mha
70,70,52,n0901.mha,1,37,122,662,/proccessed_data/images/n0901.mha
75,75,43,n0460.mha,1,41,706,389,/proccessed_data/images/n0460.mha
76,76,59,n0309.mha,1,62,351,294,/proccessed_data/images/n0309.mha
77,77,75,n0309.mha,1,61,277,488,/proccessed_data/images/n0309.mha
78,78,25,n1080.mha,1,20,268,488,/proccessed_data/images/n1080.mha
79,79,42,n0505.mha,1,43,276,576,/proccessed_data/images/n0505.mha
83,83,89,n0353.mha,1,70,308,462,/proccessed_data/images/n0353.mha
84,84,60,n0353.mha,1,58,362,407,/proccessed_data/images/n0353.mha
85,85,45,n0129.mha,1,43,815,753,/proccessed_data/images/n0129.mha
86,86,37,n0129.mha,1,32,285,391,/proccessed_data/images/n0129.mha
87,87,41,n0129.mha,1,36,707,512,/proccessed_data/images/n0129.mha
88,88,36,n1010.mha,1,34,178,738,/proccessed_data/images/n1010.mha
89,89,57,n0384.mha,1,75,722,442,/proccessed_data/images/n0384.mha
90,90,46,n0493.mha,1,49,732,466,/proccessed_data/images/n0493.mha
91,91,65,n0881.mha,1,67,367,251,/proccessed_data/images/n0881.mha
94,94,89,n0123.mha,1,83,264,587,/proccessed_data/images/n0123.mha
95,95,71,n0123.mha,1,62,131,712,/proccessed_data/images/n0123.mha
96,96,92,n0550.mha,1,97,607,541,/proccessed_data/images/n0550.mha
99,99,65,n0731.mha,1,49,855,625,/proccessed_data/images/n0731.mha
100,100,43,n0447.mha,1,30,593,333,/proccessed_data/images/n0447.mha
101,101,47,n0194.mha,1,53,179,767,/proccessed_data/images/n0194.mha
102,102,37,n0241.mha,1,33,815,645,/proccessed_data/images/n0241.mha
103,103,51,n0683.mha,1,44,169,523,/proccessed_data/images/n0683.mha
104,104,39,n0199.mha,1,31,851,745,/proccessed_data/images/n0199.mha
106,106,32,n0629.mha,1,32,875,594,/proccessed_data/images/n0629.mha
107,107,40,n0747.mha,1,32,753,429,/proccessed_data/images/n0747.mha
108,108,114,n0933.mha,1,140,220,251,/proccessed_data/images/n0933.mha
109,109,136,n0933.mha,1,135,207,492,/proccessed_data/images/n0933.mha
111,111,51,n0047.mha,1,36,261,364,/proccessed_data/images/n0047.mha
112,112,60,n0176.mha,1,59,233,509,/proccessed_data/images/n0176.mha
114,114,33,n0267.mha,1,23,762,321,/proccessed_data/images/n0267.mha
115,115,43,n0267.mha,1,54,206,600,/proccessed_data/images/n0267.mha
116,116,39,n0267.mha,1,38,798,554,/proccessed_data/images/n0267.mha
117,117,42,n0233.mha,1,46,239,554,/proccessed_data/images/n0233.mha
118,118,58,n0514.mha,1,71,234,363,/proccessed_data/images/n0514.mha
120,120,18,n0999.mha,1,29,268,633,/proccessed_data/images/n0999.mha
121,121,32,n0999.mha,1,38,276,425,/proccessed_data/images/n0999.mha
124,124,42,n0302.mha,1,36,812,729,/proccessed_data/images/n0302.mha
125,125,70,n0565.mha,1,63,390,663,/proccessed_data/images/n0565.mha
127,127,51,n0655.mha,1,71,349,301,/proccessed_data/images/n0655.mha
128,128,78,n0655.mha,1,68,374,346,/proccessed_data/images/n0655.mha
130,130,87,n1030.mha,1,69,682,319,/proccessed_data/images/n1030.mha
131,131,56,n0699.mha,1,49,801,464,/proccessed_data/images/n0699.mha
132,132,51,n0951.mha,1,51,180,592,/proccessed_data/images/n0951.mha
133,133,63,n0008.mha,1,60,407,676,/proccessed_data/images/n0008.mha
134,134,48,n0412.mha,1,54,275,297,/proccessed_data/images/n0412.mha
135,135,66,n0412.mha,1,77,170,698,/proccessed_data/images/n0412.mha
139,139,36,n0102.mha,1,50,844,732,/proccessed_data/images/n0102.mha
140,140,90,n0486.mha,1,95,746,577,/proccessed_data/images/n0486.mha
141,141,44,n0548.mha,1,57,210,697,/proccessed_data/images/n0548.mha
142,142,46,n0548.mha,1,43,868,757,/proccessed_data/images/n0548.mha
145,145,127,n0531.mha,1,102,634,334,/proccessed_data/images/n0531.mha
146,146,89,n0531.mha,1,76,756,581,/proccessed_data/images/n0531.mha
147,147,75,n0531.mha,1,66,209,503,/proccessed_data/images/n0531.mha
148,148,29,n0056.mha,1,27,853,647,/proccessed_data/images/n0056.mha
149,149,42,n0056.mha,1,48,881,691,/proccessed_data/images/n0056.mha
151,151,94,n1014.mha,1,82,204,310,/proccessed_data/images/n1014.mha
152,152,61,n1014.mha,1,30,183,482,/proccessed_data/images/n1014.mha
153,153,105,n1014.mha,1,94,251,507,/proccessed_data/images/n1014.mha
155,155,56,n0860.mha,1,66,329,360,/proccessed_data/images/n0860.mha
156,156,18,n0563.mha,1,19,833,616,/proccessed_data/images/n0563.mha
158,158,86,n0914.mha,1,72,663,278,/proccessed_data/images/n0914.mha
159,159,78,n0914.mha,1,67,258,524,/proccessed_data/images/n0914.mha
160,160,138,n0914.mha,1,107,717,206,/proccessed_data/images/n0914.mha
161,161,41,n0815.mha,1,35,756,614,/proccessed_data/images/n0815.mha
162,162,40,n0481.mha,1,44,843,531,/proccessed_data/images/n0481.mha
163,163,57,n1087.mha,1,61,665,306,/proccessed_data/images/n1087.mha
164,164,55,n0023.mha,1,38,234,345,/proccessed_data/images/n0023.mha
165,165,65,n0963.mha,1,65,831,675,/proccessed_data/images/n0963.mha
166,166,91,n0297.mha,1,89,751,676,/proccessed_data/images/n0297.mha
167,167,41,n0198.mha,1,39,245,551,/proccessed_data/images/n0198.mha
168,168,34,n0580.mha,1,49,252,376,/proccessed_data/images/n0580.mha
169,169,40,n0226.mha,1,41,739,459,/proccessed_data/images/n0226.mha
170,170,35,n1123.mha,1,32,88,791,/proccessed_data/images/n1123.mha
171,171,40,n0921.mha,1,59,326,308,/proccessed_data/images/n0921.mha
172,172,35,n0921.mha,1,62,306,492,/proccessed_data/images/n0921.mha
173,173,40,n0921.mha,1,56,196,477,/proccessed_data/images/n0921.mha
174,174,17,n0861.mha,1,21,280,593,/proccessed_data/images/n0861.mha
175,175,51,n0231.mha,1,50,290,413,/proccessed_data/images/n0231.mha
176,176,44,n0825.mha,1,36,689,518,/proccessed_data/images/n0825.mha
177,177,52,n0820.mha,1,53,806,713,/proccessed_data/images/n0820.mha
178,178,103,n0443.mha,1,108,763,524,/proccessed_data/images/n0443.mha
179,179,54,n0817.mha,1,43,659,271,/proccessed_data/images/n0817.mha
180,180,58,n0817.mha,1,43,708,553,/proccessed_data/images/n0817.mha
181,181,58,n0817.mha,1,57,220,599,/proccessed_data/images/n0817.mha
182,182,78,n0902.mha,1,90,284,602,/proccessed_data/images/n0902.mha
186,186,67,n0831.mha,1,68,679,236,/proccessed_data/images/n0831.mha
187,187,89,n0831.mha,1,97,607,348,/proccessed_data/images/n0831.mha
188,188,54,n0060.mha,1,42,413,154,/proccessed_data/images/n0060.mha
189,189,35,n0273.mha,1,37,232,363,/proccessed_data/images/n0273.mha
194,194,70,n0358.mha,1,70,351,873,/proccessed_data/images/n0358.mha
195,195,39,n0358.mha,1,46,176,515,/proccessed_data/images/n0358.mha
196,196,28,n0836.mha,1,36,138,568,/proccessed_data/images/n0836.mha
197,197,74,n0976.mha,1,55,850,514,/proccessed_data/images/n0976.mha
198,198,56,n0976.mha,1,51,362,448,/proccessed_data/images/n0976.mha
199,199,117,n0976.mha,1,82,569,712,/proccessed_data/images/n0976.mha
200,200,34,n0462.mha,1,35,169,627,/proccessed_data/images/n0462.mha
201,201,75,n0462.mha,1,69,714,534,/proccessed_data/images/n0462.mha
202,202,60,n0746.mha,1,58,675,371,/proccessed_data/images/n0746.mha
203,203,78,n0394.mha,1,71,390,290,/proccessed_data/images/n0394.mha
205,205,76,n0272.mha,1,64,288,471,/proccessed_data/images/n0272.mha
206,206,61,n0272.mha,1,65,693,602,/proccessed_data/images/n0272.mha
207,207,37,n0853.mha,1,31,772,589,/proccessed_data/images/n0853.mha
208,208,92,n0156.mha,1,78,321,671,/proccessed_data/images/n0156.mha
209,209,46,n0781.mha,1,42,216,285,/proccessed_data/images/n0781.mha
210,210,56,n0357.mha,1,42,745,537,/proccessed_data/images/n0357.mha
211,211,35,n0357.mha,1,40,221,735,/proccessed_data/images/n0357.mha
212,212,62,n0446.mha,1,51,793,753,/proccessed_data/images/n0446.mha
213,213,30,n0697.mha,1,42,222,688,/proccessed_data/images/n0697.mha
