original_image_name,orig_dataset,node21_img_id
00001534_003,chestxray14,c0001
31177334937020045310945773597539793496_nex9f9,padchest,c0002
320480257105552742854174325138806946204_4hrl5r,padchest,c0003
595_IM-2187-1001,openi,c0004
212771334048726755265128035251611120103_2_s1v6ff,padchest,c0005
216840111366964013686042548532013192124342665_02-029-030,padchest,c0006
3223_IM-1523-1001,openi,c0007
58952528177639261704989150284295407914_c776nz,padchest,c0008
307158327265497577447663101580013026474_2gc6zm,padchest,c0009
74064163577855850740420249942453855532_1t82ue,padchest,c0010
589_IM-2183-1001,openi,c0011
300608020779303721418549447623230872426_5ekpp3,padchest,c0012
00000697_004,chestxray14,c0013
3365_IM-1618-1001,openi,c0014
30_IM-1385-1001,openi,c0015
00000808_004,chestxray14,c0017
89912282274718425560926522453127947061_w7ef3z,padchest,c0018
216840111366964012339356563862009049093619233_00-062-026,padchest,c0019
951_IM-2447-1001,openi,c0020
00000425_001,chestxray14,c0021
1382_IM-0245-1001,openi,c0022
2932_IM-1335-1001,openi,c0023
00000647_000,chestxray14,c0025
234261963721655700582429345010783479054_34pm78,padchest,c0026
216840111366964013418328332882012209124917917_01-061-011,padchest,c0027
00000922_000,chestxray14,c0028
00001498_001,chestxray14,c0029
1979_IM-0637-1001,openi,c0030
253976945728402728055207813793890289524_v4kr3f,padchest,c0031
00001757_000,chestxray14,c0032
2916_IM-1318-1001,openi,c0033
00000197_000,chestxray14,c0034
00001645_000,chestxray14,c0035
00000630_000,chestxray14,c0037
261028541786199639258250443082298047799_0lhg66,padchest,c0038
3266_IM-1551-1001,openi,c0039
00001776_000,chestxray14,c0040
00001621_000,chestxray14,c0041
36280391467082748450639043342008373492_b5mrgx,padchest,c0042
42728540250863331876520898382409588161_o4q8sm,padchest,c0043
3796_IM-1909-1001,openi,c0044
00000166_000,chestxray14,c0045
2070190143987569143415140289105978581_bm1acz,padchest,c0046
00001412_000,chestxray14,c0047
00000909_000,chestxray14,c0048
310909133069898898944199533899305329896_3lakgw,padchest,c0049
00000238_001,chestxray14,c0050
89195056966922372245143305833888559399_2acpa5,padchest,c0051
00001355_007,chestxray14,c0052
216840111366964013340662495472012121145651209_01-074-011,padchest,c0053
913_IM-2417-1001,openi,c0054
14118097476914955410390678296227045216_32n8dk,padchest,c0055
00001789_000,chestxray14,c0056
00001493_000,chestxray14,c0057
308183139240013488283192219964852937896_jorcv0,padchest,c0058
00000643_000,chestxray14,c0059
00000146_000,chestxray14,c0060
00000291_000,chestxray14,c0061
00000160_000,chestxray14,c0064
00000552_000,chestxray14,c0065
00000769_000,chestxray14,c0066
00001069_000,chestxray14,c0067
72059860944573910530634650688849966040_drywfi,padchest,c0069
00000745_002,chestxray14,c0070
235031991511180499140027503067710737549_ssd8ha,padchest,c0071
00000704_000,chestxray14,c0072
243316945187542312656226775035079561087_k5wmz6,padchest,c0073
554_IM-2155-1001,openi,c0074
1046_IM-0036-1001,openi,c0075
2526_IM-1043-1001,openi,c0076
95492521472804121201715541210855779064_5hsq4h,padchest,c0077
121_IM-0142-1001,openi,c0078
23066376219458582605441416956469423043_-jop2x,padchest,c0079
00001663_000,chestxray14,c0080
510_IM-2126-1001,openi,c0081
839_IM-2363-1001,openi,c0082
3637_IM-1804-1001,openi,c0083
00001671_001,chestxray14,c0084
216840111366964013307756408102012068131350860_01-082-087,padchest,c0085
00000558_000,chestxray14,c0086
1532_IM-0344-1001,openi,c0087
00000521_000,chestxray14,c0088
00001651_000,chestxray14,c0089
00000716_001,chestxray14,c0090
273691557745586453910150897250967449743_gqs9tu,padchest,c0091
37778389450576536945794468040414320547_ixf2hm,padchest,c0092
00001739_000,chestxray14,c0093
3102_IM-1454-1001,openi,c0094
69_IM-2258-1001,openi,c0095
00000201_000,chestxray14,c0096
216840111366964013307756408102012065144748210_01-082-121,padchest,c0097
00001366_000,chestxray14,c0098
00000957_000,chestxray14,c0099
72483178605502930015743354242911394785_2_624svg,padchest,c0100
37167543183687687901871017521359129701_tcfcex,padchest,c0101
00000562_000,chestxray14,c0103
JPCNN051,jsrt,c0104
00000279_000,chestxray14,c0105
982_IM-2470-1001,openi,c0106
2435_IM-0976-1001,openi,c0107
79006815424699157954374836639341069186_4m8dvc,padchest,c0108
2674_IM-1149-1001,openi,c0109
216840111366964013217898866992011353101847472_01-007-069,padchest,c0110
2772_IM-1213-1001,openi,c0111
2573_IM-1074-1001,openi,c0112
97757850351127158049352373769024485126_yrs6yy,padchest,c0113
81688982297530003132894443032741505437_1jhw44,padchest,c0114
1083_IM-0058-1001,openi,c0115
26594949798229076403156947670214610267_ior4yc,padchest,c0116
00000260_000,chestxray14,c0117
251173079032301164965426964789811094374_l3toic,padchest,c0118
15389388737829626356753818778442847002_2ti7au,padchest,c0119
00001616_003,chestxray14,c0120
00001413_000,chestxray14,c0121
157_IM-0372-1001,openi,c0122
00000039_000,chestxray14,c0123
2096_IM-0726-1001,openi,c0124
00001137_001,chestxray14,c0125
9237032601570545243553334170580121294_6i3x40,padchest,c0126
JPCNN038,jsrt,c0127
263552811246035949857732901769839960046_r8j2xg,padchest,c0128
JPCNN002,jsrt,c0129
572_IM-2170-1001,openi,c0130
1620_IM-0402-1001,openi,c0131
2098_IM-0728-1001,openi,c0132
768_IM-2313-1001,openi,c0133
35103281497928335862266923011802194690_4vsqrk,padchest,c0134
164_IM-0419-1001,openi,c0135
280682302554313472941805738873139522715_ir12ko,padchest,c0136
216840111366964012959786098432011047091340499_00-177-164,padchest,c0137
4667147195304075665370004242854528293_mvk62x,padchest,c0138
00001357_000,chestxray14,c0139
1176_IM-0119-1001,openi,c0140
1460_IM-0298-1001,openi,c0141
233553194578350532675275805834984947244_h5dpnj,padchest,c0142
3747_IM-1873-1001,openi,c0143
00001736_001,chestxray14,c0145
1672_IM-0443-4001,openi,c0146
247569720845924286712289871391263781235_a2a6en,padchest,c0147
00001741_001,chestxray14,c0148
3105_IM-1456-1001,openi,c0149
303389339158565875613137267484117827284_7y6x32,padchest,c0150
3222_IM-1522-1001,openi,c0151
271_IM-1176-1001,openi,c0152
2493_IM-1019-8001,openi,c0153
11784354119530323572886991470859012659_l86gjj,padchest,c0154
2630610706145424183143781773392496850_6liv78,padchest,c0155
1489_IM-0315-1001,openi,c0156
2629_IM-1116-1001,openi,c0157
63900540411927935428675908852734151202_2_uu4qpe,padchest,c0158
305519724621887722868746761762438229777_i0twh0,padchest,c0159
971_IM-2461-2001,openi,c0160
19996742869856831914584401811113743630_fpyt4m,padchest,c0161
74230245314365625509559081320118064239_89029b,padchest,c0162
00000227_000,chestxray14,c0163
216840111366964013340662495472012128092626731_01-070-051,padchest,c0164
00001690_001,chestxray14,c0165
3605_IM-1781-1001,openi,c0166
4515527687705693333064857246224417996_kgshxu,padchest,c0167
279_IM-1224-1001-0002,openi,c0168
00000140_000,chestxray14,c0169
1627_IM-0408-1001,openi,c0170
00000531_003,chestxray14,c0171
00001799_001,chestxray14,c0172
34322770102873778252232314457800576152_tx6ntm,padchest,c0173
42834595450789543595362050280922096281_tsa3pe,padchest,c0174
3114_IM-1462-1001,openi,c0175
770_IM-2316-1001,openi,c0176
751_IM-2305-1001,openi,c0177
3049_IM-1420-1001,openi,c0178
326757620495733366707854856525195179736_3q619g,padchest,c0179
00000378_000,chestxray14,c0180
00001160_000,chestxray14,c0181
329488583830255493650273712567179544523_17uv28,padchest,c0182
269_IM-1161-1001,openi,c0183
496_IM-2114-1001,openi,c0184
1853_IM-0555-1001,openi,c0185
00001911_000,chestxray14,c0186
00001176_000,chestxray14,c0187
00000038_002,chestxray14,c0188
00001234_000,chestxray14,c0189
1304_IM-0199-1001,openi,c0190
1463_IM-0300-1001,openi,c0191
66720301988422647822221777014710129942_8imkea,padchest,c0192
32803013315689935419120389624304625146_x4iik1,padchest,c0194
00000549_002,chestxray14,c0195
00000408_000,chestxray14,c0196
216840111366964013217898866992012004122403603_01-041-095,padchest,c0197
00001669_000,chestxray14,c0198
00001110_000,chestxray14,c0199
00001130_000,chestxray14,c0200
36288940391010673115952677793972114506_6iq4sj,padchest,c0201
00000901_001,chestxray14,c0202
1148_IM-0100-1001,openi,c0203
210094568528017040391358502338593126094_mx7igl,padchest,c0204
220380309892625945954721602893973216940_z7v93u,padchest,c0205
00001508_000,chestxray14,c0206
51199881575144649663675721987036911512_itrv1s,padchest,c0207
284972709628459260418469521870875093235_n1dofk,padchest,c0208
216840111366964012283393834152009014123307280_00-010-098,padchest,c0209
00001694_000,chestxray14,c0210
2189_IM-0798-1001,openi,c0211
271575796301972281643915677249203478644_ulid5w,padchest,c0212
00001646_000,chestxray14,c0213
00000182_000,chestxray14,c0214
216840111366964013686042548532013176122324686_02-103-090,padchest,c0215
39540524596340117677849194297083452543_qn1new,padchest,c0216
319_IM-1505-1001,openi,c0217
00001848_000,chestxray14,c0218
1980_IM-0637-1001,openi,c0219
00001861_000,chestxray14,c0220
JPCNN078,jsrt,c0221
00001581_000,chestxray14,c0222
3131_IM-1473-1001,openi,c0223
00001767_000,chestxray14,c0224
00000766_009,chestxray14,c0225
271270340070072829710702471913581613263_a6zbtg,padchest,c0226
794_IM-2331-1001,openi,c0227
195940869943716361098986748521632264655_8asjxt,padchest,c0229
00000809_001,chestxray14,c0230
00001571_000,chestxray14,c0231
252314419834004154898192184518777792264_ba625r,padchest,c0232
00000483_000,chestxray14,c0233
291493537419858687662254986378044114339_c6ds5c,padchest,c0234
3953_IM-2021-1001,openi,c0235
1770_IM-0504-1001,openi,c0236
216840111366964012558082906712009357094024505_00-090-054,padchest,c0237
00000699_000,chestxray14,c0238
00001539_000,chestxray14,c0239
225028180893523647122149895049076978375_5t49t0,padchest,c0240
00000651_000,chestxray14,c0241
2623_IM-1111-1001,openi,c0242
30789157867383957672331372022462898040_xq7wwr,padchest,c0243
52_IM-2131-1001,openi,c0244
280562688004492095020565099483539475772_jenfcz,padchest,c0245
00000638_000,chestxray14,c0246
225803778315646835355048644327748004143_l9h4ig,padchest,c0247
2028_IM-0673-1001,openi,c0248
00000701_000,chestxray14,c0249
00001898_000,chestxray14,c0250
36_IM-1776-1001,openi,c0251
295121132821587655518928363488677316111_ipcxeu,padchest,c0252
11_IM-0067-1001,openi,c0254
3431_IM-1660-1001,openi,c0255
255_IM-1058-1001,openi,c0256
278948104568698034857207837457891721065_z574go,padchest,c0257
286238801480371223068242514614722912805_j2870d,padchest,c0258
231693522305798598050931855912917721640_pqf7bi,padchest,c0259
247713741830094576430608777530069165119_dowlk6,padchest,c0260
00001609_000,chestxray14,c0261
1461_IM-0299-1001,openi,c0262
216840111366964012768025509942010176082602193_04-007-009,padchest,c0263
00001488_000,chestxray14,c0264
3634_IM-1801-1001,openi,c0265
61569799595446412488213405581720832033_b84v2f,padchest,c0267
00000791_000,chestxray14,c0268
00000991_000,chestxray14,c0269
44654420375891424679520592353607680815_6ecale,padchest,c0270
00001284_000,chestxray14,c0271
46_IM-2090-1001,openi,c0272
581_IM-2178-1001,openi,c0273
00001418_000,chestxray14,c0274
3413_IM-1650-1001,openi,c0275
00001171_000,chestxray14,c0276
216840111366964013686042548532013142134404165_02-034-168,padchest,c0277
559_IM-2159-1001,openi,c0278
00000382_000,chestxray14,c0280
98777291927924523183742345855612134293_6qlrld,padchest,c0281
00000255_000,chestxray14,c0282
1618_IM-0399-1001,openi,c0283
JPCNN007,jsrt,c0284
84289138814897824414670894017743137660_xjsw7k,padchest,c0285
00001245_000,chestxray14,c0286
216840111366964012336989378142009037110944119_00-063-105,padchest,c0287
